{u'Zeit udp2mqtt': u'46.31365', u'Topic Change': u'46.31703', 'Log Zeit': '16:03:46.347261', u'Messwert': u"b'201'"}
{u'Zeit udp2mqtt': u'46.34878', u'Topic Change': u'46.35131', 'Log Zeit': '16:03:46.354465', u'Messwert': u"b'200'"}
{u'Zeit udp2mqtt': u'46.38127', u'Topic Change': u'46.38386', 'Log Zeit': '16:03:46.387040', u'Messwert': u"b'199'"}
{u'Zeit udp2mqtt': u'46.41376', u'Topic Change': u'46.41697', 'Log Zeit': '16:03:46.419727', u'Messwert': u"b'198'"}
{u'Zeit udp2mqtt': u'46.44627', u'Topic Change': u'46.44944', 'Log Zeit': '16:03:46.452133', u'Messwert': u"b'197'"}
{u'Zeit udp2mqtt': u'46.47876', u'Topic Change': u'46.48199', 'Log Zeit': '16:03:46.484641', u'Messwert': u"b'196'"}
{u'Zeit udp2mqtt': u'46.51128', u'Topic Change': u'46.51499', 'Log Zeit': '16:03:46.518915', u'Messwert': u"b'195'"}
{u'Zeit udp2mqtt': u'46.54375', u'Topic Change': u'46.54712', 'Log Zeit': '16:03:46.549876', u'Messwert': u"b'194'"}
{u'Zeit udp2mqtt': u'46.57623', u'Topic Change': u'46.57951', 'Log Zeit': '16:03:46.582369', u'Messwert': u"b'193'"}
{u'Zeit udp2mqtt': u'46.60876', u'Topic Change': u'46.61204', 'Log Zeit': '16:03:46.614964', u'Messwert': u"b'192'"}
{u'Zeit udp2mqtt': u'46.64127', u'Topic Change': u'46.64453', 'Log Zeit': '16:03:46.647658', u'Messwert': u"b'191'"}
{u'Zeit udp2mqtt': u'46.67376', u'Topic Change': u'46.67712', 'Log Zeit': '16:03:46.679986', u'Messwert': u"b'190'"}
{u'Zeit udp2mqtt': u'46.70623', u'Topic Change': u'46.70948', 'Log Zeit': '16:03:46.712397', u'Messwert': u"b'189'"}
{u'Zeit udp2mqtt': u'46.73872', u'Topic Change': u'46.74257', 'Log Zeit': '16:03:46.746854', u'Messwert': u"b'188'"}
{u'Zeit udp2mqtt': u'46.77119', u'Topic Change': u'46.77415', 'Log Zeit': '16:03:46.778341', u'Messwert': u"b'187'"}
{u'Zeit udp2mqtt': u'46.80371', u'Topic Change': u'46.80683', 'Log Zeit': '16:03:46.811888', u'Messwert': u"b'186'"}
{u'Zeit udp2mqtt': u'46.83617', u'Topic Change': u'46.83898', 'Log Zeit': '16:03:46.843719', u'Messwert': u"b'185'"}
{u'Zeit udp2mqtt': u'46.87096', u'Topic Change': u'46.87433', 'Log Zeit': '16:03:46.878972', u'Messwert': u"b'184'"}
{u'Zeit udp2mqtt': u'46.90357', u'Topic Change': u'46.90746', 'Log Zeit': '16:03:46.910989', u'Messwert': u"b'183'"}
{u'Zeit udp2mqtt': u'46.93917', u'Topic Change': u'46.94198', 'Log Zeit': '16:03:46.945217', u'Messwert': u"b'182'"}
{u'Zeit udp2mqtt': u'46.97379', u'Topic Change': u'46.97671', 'Log Zeit': '16:03:46.979965', u'Messwert': u"b'181'"}
{u'Zeit udp2mqtt': u'47.00857', u'Topic Change': u'47.01139', 'Log Zeit': '16:03:47.014657', u'Messwert': u"b'180'"}
{u'Zeit udp2mqtt': u'47.04326', u'Topic Change': u'47.04625', 'Log Zeit': '16:03:47.049196', u'Messwert': u"b'179'"}
{u'Zeit udp2mqtt': u'47.07787', u'Topic Change': u'47.08076', 'Log Zeit': '16:03:47.084382', u'Messwert': u"b'178'"}
{u'Zeit udp2mqtt': u'47.11248', u'Topic Change': u'47.11529', 'Log Zeit': '16:03:47.118563', u'Messwert': u"b'177'"}
{u'Zeit udp2mqtt': u'47.14753', u'Topic Change': u'47.15077', 'Log Zeit': '16:03:47.154607', u'Messwert': u"b'176'"}
